!!SBtab TableType='Quantity' Unit='mmol/gCDW/s' Organism='Escherichia coli' Reference='Davidi 2016' SBtabVersion='1.0' Date='2019-06-10'																																	
!QuantityType	!Reaction	GLC_CHEM_mu_0_11_V	GLC_CHEM_mu_0_12_S	GLC_CHEM_mu_0_20_S	GLC_CHEM_mu_0_21_P	GLC_CHEM_mu_0_21_V	GLC_CHEM_mu_0_22_P	GLC_CHEM_mu_0_26_P	GAL_BATCH_mu_0_26_S	ACE_BATCH_mu_0_3_S	GLC_CHEM_mu_0_31_P	GLC_CHEM_mu_0_31_V	GLC_CHEM_mu_0_35_S	GLC_CHEM_mu_0_36_P	PYR_BATCH_mu_0_4_S	GLC_CHEM_mu_0_40_V	GLC_CHEM_mu_0_41_P	FUM_BATCH_mu_0_42_S	SUCC_BATCH_mu_0_44_S	GLC_CHEM_mu_0_46_P	GAM_BATCH_mu_0_46_S	GLYC_BATCH_mu_0_47_S	MAN_BATCH_mu_0_47_S	GLC_CHEM_mu_0_49_V	GLC_CHEM_mu_0_50_S	GLC_CHEM_mu_0_51_P	GLC_SALTS_BATCH_mu_0_55_S	XYL_BATCH_mu_0_55_S	GLC_BATCH_mu_0_58_S	GLC_pH6_BATCH_mu_0_63_S	FRU_BATCH_mu_0_65_S	GLC_42deg_BATCH_mu_0_66_S	!Reaction:Identifiers:kegg.reaction
flux	ACOAD7f_reverse	3.90E-06	4.30E-06	7.10E-06	7.40E-06	7.40E-06	7.80E-06	9.20E-06	9.20E-06	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.50E-05	1.60E-05	1.60E-05	1.60E-05	1.70E-05	1.70E-05	1.70E-05	1.80E-05	1.80E-05	1.90E-05	1.90E-05	2.10E-05	2.20E-05	2.30E-05	2.30E-05	
flux	ACODA	9.00E-06	9.90E-06	1.60E-05	1.70E-05	1.70E-05	1.80E-05	2.10E-05	2.10E-05	2.50E-05	2.50E-05	2.50E-05	2.90E-05	3.00E-05	3.30E-05	3.30E-05	3.40E-05	3.50E-05	3.60E-05	3.80E-05	3.80E-05	3.90E-05	3.90E-05	4.00E-05	4.10E-05	4.20E-05	4.50E-05	4.50E-05	4.80E-05	5.20E-05	5.30E-05	5.40E-05	R00669
flux	ADCL	2.00E-08	2.20E-08	3.70E-08	3.90E-08	3.90E-08	4.10E-08	4.80E-08	4.80E-08	5.60E-08	5.80E-08	5.80E-08	6.50E-08	6.70E-08	7.40E-08	7.40E-08	7.60E-08	7.80E-08	8.20E-08	8.50E-08	8.50E-08	8.70E-08	8.70E-08	9.10E-08	9.30E-08	9.50E-08	1.00E-07	1.00E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	R05553
flux	ADK1	8.00E-05	8.70E-05	1.50E-04	1.50E-04	1.50E-04	1.60E-04	1.90E-04	1.90E-04	2.20E-04	2.30E-04	2.30E-04	2.60E-04	2.60E-04	2.90E-04	2.90E-04	3.00E-04	3.10E-04	3.20E-04	3.40E-04	3.40E-04	3.40E-04	3.40E-04	3.60E-04	3.60E-04	3.70E-04	4.00E-04	4.00E-04	4.20E-04	4.60E-04	4.70E-04	4.80E-04	R00127
flux	ADNK1	2.10E-08	2.20E-08	3.70E-08	3.90E-08	3.90E-08	4.10E-08	4.90E-08	4.90E-08	5.60E-08	5.80E-08	5.80E-08	6.50E-08	6.70E-08	7.50E-08	7.50E-08	7.70E-08	7.90E-08	8.20E-08	8.60E-08	8.60E-08	8.80E-08	8.80E-08	9.20E-08	9.30E-08	9.50E-08	1.00E-07	1.00E-07	1.10E-07	1.20E-07	1.20E-07	1.20E-07	R00185
flux	ADSK	7.60E-06	8.30E-06	1.40E-05	1.40E-05	1.40E-05	1.50E-05	1.80E-05	1.80E-05	2.10E-05	2.10E-05	2.10E-05	2.40E-05	2.50E-05	2.80E-05	2.80E-05	2.80E-05	2.90E-05	3.00E-05	3.20E-05	3.20E-05	3.20E-05	3.20E-05	3.40E-05	3.40E-05	3.50E-05	3.80E-05	3.80E-05	4.00E-05	4.30E-05	4.50E-05	4.50E-05	
flux	ADSL1r	9.10E-06	1.00E-05	1.70E-05	1.70E-05	1.70E-05	1.80E-05	2.20E-05	2.20E-05	2.50E-05	2.60E-05	2.60E-05	2.90E-05	3.00E-05	3.30E-05	3.30E-05	3.40E-05	3.50E-05	3.70E-05	3.80E-05	3.80E-05	3.90E-05	3.90E-05	4.10E-05	4.20E-05	4.20E-05	4.60E-05	4.60E-05	4.80E-05	5.20E-05	5.40E-05	5.50E-05	R01083
flux	ADSL2r	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.70E-05	3.20E-05	3.20E-05	3.70E-05	3.90E-05	3.90E-05	4.40E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.20E-05	5.50E-05	5.70E-05	5.70E-05	5.80E-05	5.80E-05	6.10E-05	6.20E-05	6.30E-05	6.80E-05	6.80E-05	7.20E-05	7.80E-05	8.10E-05	8.20E-05	
flux	ADSS	9.10E-06	1.00E-05	1.70E-05	1.70E-05	1.70E-05	1.80E-05	2.20E-05	2.20E-05	2.50E-05	2.60E-05	2.60E-05	2.90E-05	3.00E-05	3.30E-05	3.30E-05	3.40E-05	3.50E-05	3.70E-05	3.80E-05	3.80E-05	3.90E-05	3.90E-05	4.10E-05	4.20E-05	4.20E-05	4.60E-05	4.60E-05	4.80E-05	5.20E-05	5.40E-05	5.50E-05	R01135
flux	AGPAT160	1.90E-06	2.10E-06	3.50E-06	3.70E-06	3.70E-06	3.90E-06	4.60E-06	4.60E-06	5.30E-06	5.50E-06	5.50E-06	6.20E-06	6.40E-06	7.10E-06	7.10E-06	7.30E-06	7.40E-06	7.80E-06	8.20E-06	8.20E-06	8.30E-06	8.30E-06	8.70E-06	8.90E-06	9.00E-06	9.70E-06	9.70E-06	1.00E-05	1.10E-05	1.20E-05	1.20E-05	
flux	AGPAT161	2.30E-06	2.50E-06	4.20E-06	4.40E-06	4.40E-06	4.60E-06	5.40E-06	5.40E-06	6.30E-06	6.50E-06	6.50E-06	7.30E-06	7.50E-06	8.40E-06	8.40E-06	8.60E-06	8.80E-06	9.20E-06	9.60E-06	9.60E-06	9.80E-06	9.80E-06	1.00E-05	1.00E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	
flux	AGPR_reverse	9.00E-06	9.90E-06	1.60E-05	1.70E-05	1.70E-05	1.80E-05	2.10E-05	2.10E-05	2.50E-05	2.50E-05	2.50E-05	2.90E-05	3.00E-05	3.30E-05	3.30E-05	3.40E-05	3.50E-05	3.60E-05	3.80E-05	3.80E-05	3.90E-05	3.90E-05	4.00E-05	4.10E-05	4.20E-05	4.50E-05	4.50E-05	4.80E-05	5.20E-05	5.30E-05	5.40E-05	
flux	AHCYSNS	1.40E-08	1.50E-08	2.50E-08	2.60E-08	2.60E-08	2.70E-08	3.20E-08	3.20E-08	3.70E-08	3.90E-08	3.90E-08	4.40E-08	4.50E-08	5.00E-08	5.00E-08	5.10E-08	5.20E-08	5.50E-08	5.70E-08	5.70E-08	5.80E-08	5.80E-08	6.10E-08	6.20E-08	6.30E-08	6.80E-08	6.80E-08	7.20E-08	7.80E-08	8.10E-08	8.20E-08	R00194
flux	AICART	1.70E-05	1.80E-05	3.00E-05	3.20E-05	3.20E-05	3.30E-05	3.90E-05	3.90E-05	4.50E-05	4.70E-05	4.70E-05	5.30E-05	5.40E-05	6.00E-05	6.00E-05	6.20E-05	6.30E-05	6.60E-05	6.90E-05	6.90E-05	7.10E-05	7.10E-05	7.40E-05	7.50E-05	7.70E-05	8.30E-05	8.30E-05	8.70E-05	9.50E-05	9.80E-05	1.00E-04	R04560
flux	AIRC2	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.70E-05	3.20E-05	3.20E-05	3.70E-05	3.90E-05	3.90E-05	4.40E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.20E-05	5.50E-05	5.70E-05	5.70E-05	5.80E-05	5.80E-05	6.10E-05	6.20E-05	6.30E-05	6.80E-05	6.80E-05	7.20E-05	7.80E-05	8.10E-05	8.20E-05	
flux	AIRC3_reverse	1.40E-05	1.50E-05	2.50E-05	2.60E-05	2.60E-05	2.70E-05	3.20E-05	3.20E-05	3.70E-05	3.90E-05	3.90E-05	4.40E-05	4.50E-05	5.00E-05	5.00E-05	5.10E-05	5.20E-05	5.50E-05	5.70E-05	5.70E-05	5.80E-05	5.80E-05	6.10E-05	6.20E-05	6.30E-05	6.80E-05	6.80E-05	7.20E-05	7.80E-05	8.10E-05	8.20E-05	
flux	AMAOTr	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	R03231
flux	AMPMS2	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	
flux	ANPRT	1.70E-06	1.90E-06	3.20E-06	3.30E-06	3.30E-06	3.50E-06	4.10E-06	4.10E-06	4.70E-06	4.90E-06	4.90E-06	5.50E-06	5.70E-06	6.30E-06	6.30E-06	6.50E-06	6.60E-06	6.90E-06	7.30E-06	7.30E-06	7.40E-06	7.40E-06	7.70E-06	7.90E-06	8.10E-06	8.70E-06	8.70E-06	9.20E-06	9.90E-06	1.00E-05	1.00E-05	R01073
flux	AOXSr2	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	R10124
flux	APRAUR	1.40E-08	1.50E-08	2.50E-08	2.60E-08	2.60E-08	2.70E-08	3.20E-08	3.20E-08	3.70E-08	3.80E-08	3.80E-08	4.30E-08	4.50E-08	5.00E-08	5.00E-08	5.10E-08	5.20E-08	5.50E-08	5.70E-08	5.70E-08	5.80E-08	5.80E-08	6.10E-08	6.20E-08	6.30E-08	6.80E-08	6.80E-08	7.20E-08	7.80E-08	8.10E-08	8.20E-08	R03458
flux	ARGSL	9.00E-06	9.90E-06	1.60E-05	1.70E-05	1.70E-05	1.80E-05	2.10E-05	2.10E-05	2.50E-05	2.50E-05	2.50E-05	2.90E-05	3.00E-05	3.30E-05	3.30E-05	3.40E-05	3.50E-05	3.60E-05	3.80E-05	3.80E-05	3.90E-05	3.90E-05	4.00E-05	4.10E-05	4.20E-05	4.50E-05	4.50E-05	4.80E-05	5.20E-05	5.30E-05	5.40E-05	R01086
flux	ARGSS	9.00E-06	9.90E-06	1.60E-05	1.70E-05	1.70E-05	1.80E-05	2.10E-05	2.10E-05	2.50E-05	2.50E-05	2.50E-05	2.90E-05	3.00E-05	3.30E-05	3.30E-05	3.40E-05	3.50E-05	3.60E-05	3.80E-05	3.80E-05	3.90E-05	3.90E-05	4.00E-05	4.10E-05	4.20E-05	4.50E-05	4.50E-05	4.80E-05	5.20E-05	5.30E-05	5.40E-05	R01954
flux	ASAD_reverse	3.30E-05	3.60E-05	5.90E-05	6.20E-05	6.20E-05	6.50E-05	7.70E-05	7.70E-05	8.90E-05	9.20E-05	9.20E-05	1.00E-04	1.10E-04	1.20E-04	1.20E-04	1.20E-04	1.20E-04	1.30E-04	1.40E-04	1.40E-04	1.40E-04	1.40E-04	1.50E-04	1.50E-04	1.50E-04	1.60E-04	1.60E-04	1.70E-04	1.90E-04	1.90E-04	2.00E-04	
flux	ASNS2	7.40E-06	8.00E-06	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	2.00E-05	2.10E-05	2.10E-05	2.30E-05	2.40E-05	2.70E-05	2.70E-05	2.70E-05	2.80E-05	2.90E-05	3.10E-05	3.10E-05	3.10E-05	3.10E-05	3.30E-05	3.30E-05	3.40E-05	3.70E-05	3.70E-05	3.90E-05	4.20E-05	4.40E-05	4.40E-05	R00483
flux	ASP1DC	1.80E-08	1.90E-08	3.20E-08	3.40E-08	3.40E-08	3.50E-08	4.20E-08	4.20E-08	4.80E-08	5.00E-08	5.00E-08	5.60E-08	5.80E-08	6.40E-08	6.40E-08	6.60E-08	6.70E-08	7.00E-08	7.40E-08	7.40E-08	7.50E-08	7.50E-08	7.80E-08	8.00E-08	8.20E-08	8.80E-08	8.80E-08	9.30E-08	1.00E-07	1.00E-07	1.10E-07	R00489
flux	ASPO6	7.00E-08	7.60E-08	1.30E-07	1.30E-07	1.30E-07	1.40E-07	1.60E-07	1.60E-07	1.90E-07	2.00E-07	2.00E-07	2.20E-07	2.30E-07	2.50E-07	2.50E-07	2.60E-07	2.70E-07	2.80E-07	2.90E-07	2.90E-07	3.00E-07	3.00E-07	3.10E-07	3.20E-07	3.20E-07	3.50E-07	3.50E-07	3.70E-07	4.00E-07	4.10E-07	4.20E-07	R00481
flux	ASPTA_reverse	8.90E-05	9.80E-05	1.60E-04	1.70E-04	1.70E-04	1.80E-04	2.10E-04	2.10E-04	2.40E-04	2.50E-04	2.50E-04	2.80E-04	2.90E-04	3.30E-04	3.30E-04	3.30E-04	3.40E-04	3.60E-04	3.70E-04	3.70E-04	3.80E-04	3.80E-04	4.00E-04	4.10E-04	4.10E-04	4.50E-04	4.50E-04	4.70E-04	5.10E-04	5.30E-04	5.40E-04	
flux	ATPPRT	2.90E-06	3.20E-06	5.30E-06	5.50E-06	5.50E-06	5.80E-06	6.80E-06	6.80E-06	7.90E-06	8.20E-06	8.20E-06	9.20E-06	9.50E-06	1.10E-05	1.10E-05	1.10E-05	1.10E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.20E-05	1.30E-05	1.30E-05	1.30E-05	1.40E-05	1.40E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	R01071
flux	BMOCOS	3.70E-09	4.10E-09	6.80E-09	7.10E-09	7.10E-09	7.50E-09	8.80E-09	8.80E-09	1.00E-08	1.10E-08	1.10E-08	1.20E-08	1.20E-08	1.40E-08	1.40E-08	1.40E-08	1.40E-08	1.50E-08	1.60E-08	1.60E-08	1.60E-08	1.60E-08	1.70E-08	1.70E-08	1.70E-08	1.90E-08	1.90E-08	2.00E-08	2.10E-08	2.20E-08	2.20E-08	
flux	BPNT	7.60E-06	8.30E-06	1.40E-05	1.40E-05	1.40E-05	1.50E-05	1.80E-05	1.80E-05	2.10E-05	2.10E-05	2.10E-05	2.40E-05	2.50E-05	2.80E-05	2.80E-05	2.80E-05	2.90E-05	3.00E-05	3.20E-05	3.20E-05	3.20E-05	3.20E-05	3.40E-05	3.40E-05	3.50E-05	3.80E-05	3.80E-05	4.00E-05	4.30E-05	4.50E-05	4.50E-05	R00188
flux	BTS5	6.10E-11	6.70E-11	1.10E-10	1.20E-10	1.20E-10	1.20E-10	1.40E-10	1.40E-10	1.70E-10	1.70E-10	1.70E-10	1.90E-10	2.00E-10	2.20E-10	2.20E-10	2.30E-10	2.30E-10	2.40E-10	2.60E-10	2.60E-10	2.60E-10	2.60E-10	2.70E-10	2.80E-10	2.80E-10	3.10E-10	3.10E-10	3.20E-10	3.50E-10	3.60E-10	3.70E-10	
flux	CDPMEK	7.30E-08	8.00E-08	1.30E-07	1.40E-07	1.40E-07	1.50E-07	1.70E-07	1.70E-07	2.00E-07	2.10E-07	2.10E-07	2.30E-07	2.40E-07	2.70E-07	2.70E-07	2.70E-07	2.80E-07	2.90E-07	3.10E-07	3.10E-07	3.10E-07	3.10E-07	3.30E-07	3.30E-07	3.40E-07	3.60E-07	3.60E-07	3.80E-07	4.20E-07	4.30E-07	4.40E-07	R05634
flux	CHORS	1.20E-05	1.30E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.80E-05	2.80E-05	3.20E-05	3.30E-05	3.30E-05	3.70E-05	3.80E-05	4.20E-05	4.20E-05	4.30E-05	4.40E-05	4.70E-05	4.90E-05	4.90E-05	5.00E-05	5.00E-05	5.20E-05	5.30E-05	5.40E-05	5.80E-05	5.80E-05	6.10E-05	6.70E-05	6.90E-05	7.00E-05	R01714
flux	CHRPL	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R01302
flux	CPPPGO	6.80E-09	7.40E-09	1.20E-08	1.30E-08	1.30E-08	1.40E-08	1.60E-08	1.60E-08	1.90E-08	1.90E-08	1.90E-08	2.20E-08	2.20E-08	2.50E-08	2.50E-08	2.50E-08	2.60E-08	2.70E-08	2.80E-08	2.80E-08	2.90E-08	2.90E-08	3.00E-08	3.10E-08	3.20E-08	3.40E-08	3.40E-08	3.60E-08	3.90E-08	4.00E-08	4.10E-08	R03220
flux	CS	2.20E-04	2.30E-04	3.30E-04	3.40E-04	3.40E-04	3.50E-04	4.00E-04	4.00E-04	4.50E-04	4.60E-04	4.60E-04	5.10E-04	5.20E-04	8.20E-04	5.70E-04	5.80E-04	1.90E-04	6.20E-04	6.40E-04	6.40E-04	4.50E-04	6.50E-04	6.70E-04	6.90E-04	7.00E-04	7.50E-04	7.50E-04	7.80E-04	8.40E-04	8.60E-04	8.80E-04	R00351
flux	CTECOAI7_reverse	4.60E-06	5.00E-06	8.40E-06	8.80E-06	8.80E-06	9.20E-06	1.10E-05	1.10E-05	1.30E-05	1.30E-05	1.30E-05	1.50E-05	1.50E-05	1.70E-05	1.70E-05	1.70E-05	1.80E-05	1.80E-05	1.90E-05	1.90E-05	2.00E-05	2.00E-05	2.00E-05	2.10E-05	2.10E-05	2.30E-05	2.30E-05	2.40E-05	2.60E-05	2.70E-05	2.80E-05	
flux	CTPS2	4.90E-06	5.40E-06	8.90E-06	9.40E-06	9.40E-06	9.80E-06	1.20E-05	1.20E-05	1.30E-05	1.40E-05	1.40E-05	1.60E-05	1.60E-05	1.80E-05	1.80E-05	1.80E-05	1.90E-05	2.00E-05	2.10E-05	2.10E-05	2.10E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.50E-05	2.50E-05	2.60E-05	2.80E-05	2.90E-05	2.90E-05	R00573
flux	CYTK1	5.50E-06	6.00E-06	1.00E-05	1.10E-05	1.10E-05	1.10E-05	1.30E-05	1.30E-05	1.50E-05	1.60E-05	1.60E-05	1.80E-05	1.80E-05	2.00E-05	2.00E-05	2.10E-05	2.10E-05	2.20E-05	2.30E-05	2.30E-05	2.40E-05	2.40E-05	2.50E-05	2.50E-05	2.60E-05	2.80E-05	2.80E-05	2.90E-05	3.20E-05	3.30E-05	3.30E-05	R00512
flux	DALAt2pp	4.20E-07	4.60E-07	7.70E-07	8.10E-07	8.10E-07	8.50E-07	1.00E-06	1.00E-06	1.20E-06	1.20E-06	1.20E-06	1.40E-06	1.40E-06	1.50E-06	1.50E-06	1.60E-06	1.60E-06	1.70E-06	1.80E-06	1.80E-06	1.80E-06	1.80E-06	1.90E-06	1.90E-06	2.00E-06	2.10E-06	2.10E-06	2.20E-06	2.40E-06	2.50E-06	2.50E-06	
flux	DAPDC	1.00E-05	1.10E-05	1.90E-05	2.00E-05	2.00E-05	2.10E-05	2.50E-05	2.50E-05	2.90E-05	3.00E-05	3.00E-05	3.30E-05	3.40E-05	3.80E-05	3.80E-05	3.90E-05	4.00E-05	4.20E-05	4.40E-05	4.40E-05	4.50E-05	4.50E-05	4.70E-05	4.80E-05	4.90E-05	5.20E-05	5.20E-05	5.50E-05	6.00E-05	6.20E-05	6.30E-05	R00451
flux	DAPE	1.10E-05	1.20E-05	2.10E-05	2.20E-05	2.20E-05	2.30E-05	2.70E-05	2.70E-05	3.10E-05	3.20E-05	3.20E-05	3.60E-05	3.70E-05	4.10E-05	4.10E-05	4.20E-05	4.30E-05	4.50E-05	4.70E-05	4.70E-05	4.80E-05	4.80E-05	5.00E-05	5.20E-05	5.30E-05	5.70E-05	5.70E-05	6.00E-05	6.50E-05	6.70E-05	6.80E-05	R02735
flux	DASYN160	1.90E-06	2.10E-06	3.50E-06	3.70E-06	3.70E-06	3.90E-06	4.60E-06	4.60E-06	5.30E-06	5.50E-06	5.50E-06	6.20E-06	6.40E-06	7.10E-06	7.10E-06	7.30E-06	7.40E-06	7.80E-06	8.20E-06	8.20E-06	8.30E-06	8.30E-06	8.70E-06	8.90E-06	9.00E-06	9.70E-06	9.70E-06	1.00E-05	1.10E-05	1.20E-05	1.20E-05	
